food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Sweet Potato,100g,86 cal,361 kJ,1 potato (130 g),112 cal,469 kJ,1 oz. (28 g),24 cal,101 kJ
Tomato,100g,18 cal,76 kJ,1 tomato (111 g),20 cal,84 kJ,1 oz. (28 g),5 cal,21 kJ
Turnip Greens,100g,20 cal,84 kJ,1 turnip green (170 g),34 cal,143 kJ,1 oz. (28 g),6 cal,24 kJ
Turnips,100g,28 cal,118 kJ,1 turnip (122 g),34 cal,144 kJ,1 oz. (28 g),8 cal,33 kJ
Wasabi,100g,109 cal,458 kJ,1 root (169 g),184 cal,774 kJ,1 oz. (28 g),31 cal,128 kJ
Winter Squash,100g,34 cal,143 kJ,1 squash (431 g),147 cal,616 kJ,1 oz. (28 g),10 cal,40 kJ
Zucchini,100g,17 cal,71 kJ,1 zucchini (196 g),33 cal,139 kJ,1 oz. (28 g),5 cal,20 kJ
Alligator,100g,104 cal,437 kJ,1 piece (184 g),191 cal,804 kJ,1 oz. (28 g),29 cal,122 kJ
Alligator Meat,100g,232 cal,974 kJ,1 piece (340 g),789 cal,3312 kJ,1 oz. (28 g),65 cal,273 kJ
Antelope Meat,100g,150 cal,630 kJ,1 piece (340 g),510 cal,2142 kJ,1 oz. (28 g),42 cal,176 kJ
Bear Meat,100g,259 cal,1088 kJ,1 piece (277 g),717 cal,3014 kJ,1 oz. (28 g),73 cal,305 kJ
Beaver Meat,100g,212 cal,890 kJ,1 piece (313 g),664 cal,2786 kJ,1 oz. (28 g),59 cal,249 kJ
Bison,100g,171 cal,718 kJ,1 piece (194 g),332 cal,1393 kJ,1 oz. (28 g),48 cal,201 kJ
Bison Meat,100g,171 cal,718 kJ,1 piece (194 g),332 cal,1393 kJ,1 oz. (28 g),48 cal,201 kJ
Bison Sirloin,100g,171 cal,718 kJ,1 piece (194 g),332 cal,1393 kJ,1 oz. (28 g),48 cal,201 kJ
Buffalo,100g,131 cal,550 kJ,1 piece (340 g),445 cal,1870 kJ,1 oz. (28 g),37 cal,154 kJ
Buffalo Meat,100g,131 cal,550 kJ,1 piece (340 g),445 cal,1870 kJ,1 oz. (28 g),37 cal,154 kJ
Caribou,100g,159 cal,668 kJ,1 piece (102 g),162 cal,681 kJ,1 oz. (28 g),45 cal,187 kJ
Goose,100g,238 cal,1000 kJ,1/2 goose (591 g),1407 cal,5910 kJ,1 oz. (28 g),67 cal,280 kJ
Goose Meat,100g,238 cal,1000 kJ,1/2 goose (591 g),1407 cal,5910 kJ,1 oz. (28 g),67 cal,280 kJ
Lamb,100g,202 cal,848 kJ,1 piece (193 g),390 cal,1637 kJ,1 oz. (28 g),57 cal,237 kJ
Lamb Meat,100g,202 cal,848 kJ,1 piece (193 g),390 cal,1637 kJ,1 oz. (28 g),57 cal,237 kJ
Mallard Duck Meat,100g,211 cal,886 kJ,1 piece (265 g),559 cal,2348 kJ,1 oz. (28 g),59 cal,248 kJ
Mallard Meat,100g,211 cal,886 kJ,1 piece (265 g),559 cal,2348 kJ,1 oz. (28 g),59 cal,248 kJ
Moose,100g,134 cal,563 kJ,1 piece (340 g),456 cal,1914 kJ,1 oz. (28 g),38 cal,158 kJ
Moose Meat,100g,134 cal,563 kJ,1 piece (340 g),456 cal,1914 kJ,1 oz. (28 g),38 cal,158 kJ
Mutton,100g,234 cal,983 kJ,1 piece (240 g),562 cal,2359 kJ,1 oz. (28 g),66 cal,275 kJ
Mutton Meat,100g,234 cal,983 kJ,1 oz. (28 g),66 cal,275 kJ,1 oz. (28 g),66 cal,275 kJ
Ostrich,100g,175 cal,735 kJ,1 patty (93 g),163 cal,684 kJ,1 oz. (28 g),49 cal,206 kJ
Ostrich Meat,100g,175 cal,735 kJ,1 piece (340 g),595 cal,2499 kJ,1 oz. (28 g),49 cal,206 kJ
Pheasant,100g,239 cal,1004 kJ,1 piece (169 g),404 cal,1697 kJ,1 oz. (28 g),67 cal,281 kJ
Pheasant Meat,100g,239 cal,1004 kJ,1 piece (169 g),404 cal,1697 kJ,1 oz. (28 g),67 cal,281 kJ
Rabbit,100g,197 cal,827 kJ,1 piece (313 g),617 cal,2589 kJ,1 oz. (28 g),55 cal,232 kJ
Racoon,100g,255 cal,1071 kJ,1 piece (356 g),908 cal,3813 kJ,1 oz. (28 g),71 cal,300 kJ
Racoon Meat,100g,255 cal,1071 kJ,1 piece (399 g),1017 cal,4273 kJ,1 oz. (28 g),71 cal,300 kJ
Reindeer,100g,200 cal,840 kJ,1 piece (340 g),680 cal,2856 kJ,1 oz. (28 g),56 cal,235 kJ
Reindeer Meat,100g,200 cal,840 kJ,1 piece (340 g),680 cal,2856 kJ,1 oz. (28 g),56 cal,235 kJ
Squirrel,100g,173 cal,727 kJ,1 piece (313 g),541 cal,2276 kJ,1 oz. (28 g),48 cal,204 kJ
Squirrel Meat,100g,173 cal,727 kJ,1 piece (313 g),541 cal,2276 kJ,1 oz. (28 g),48 cal,204 kJ
Venison,100g,164 cal,689 kJ,1 piece (157 g),257 cal,1082 kJ,1 oz. (28 g),46 cal,193 kJ
Venison Sirloin,100g,158 cal,664 kJ,1 piece (340 g),537 cal,2258 kJ,1 oz. (28 g),44 cal,186 kJ
Wild Boar,100g,160 cal,672 kJ,1 piece (340 g),544 cal,2285 kJ,1 oz. (28 g),45 cal,188 kJ
Wild Boar Meat,100g,160 cal,672 kJ,1 piece (340 g),544 cal,2285 kJ,1 oz. (28 g),45 cal,188 kJ
Cabernet Sauvignon,100ml,77 cal,323 kJ,1 glass (118 ml),91 cal,381 kJ,1 fl. oz. (30 ml),23 cal,97 kJ
Cava,100ml,76 cal,319 kJ,1 glass (118 ml),90 cal,376 kJ,1 fl. oz. (30 ml),23 cal,96 kJ
Champagne,100ml,76 cal,319 kJ,1 glass (118 ml),90 cal,376 kJ,1 fl. oz. (30 ml),23 cal,96 kJ
Chardonnay,100ml,85 cal,357 kJ,1 glass (118 ml),100 cal,421 kJ,1 fl. oz. (30 ml),26 cal,107 kJ
Chenin Blanc,100ml,80 cal,336 kJ,1 glass (118 ml),94 cal,396 kJ,1 fl. oz. (30 ml),24 cal,101 kJ
Chocolate Wine,100ml,256 cal,1075 kJ,1 glass (118 ml),302 cal,1269 kJ,1 fl. oz. (30 ml),77 cal,323 kJ
Dry Red Wine,100ml,85 cal,357 kJ,1 glass (118 ml),100 cal,421 kJ,1 fl. oz. (30 ml),26 cal,107 kJ
Gamay,100ml,78 cal,328 kJ,1 glass (118 ml),92 cal,387 kJ,1 fl. oz. (30 ml),23 cal,98 kJ
Malbec,100ml,82 cal,344 kJ,1 glass (118 ml),97 cal,406 kJ,1 fl. oz. (30 ml),25 cal,103 kJ
Malbec Wine,100ml,82 cal,344 kJ,1 glass (118 ml),97 cal,406 kJ,1 fl. oz. (30 ml),25 cal,103 kJ
Marsala Wine,100ml,100 cal,420 kJ,1 glass (118 ml),118 cal,496 kJ,1 fl. oz. (30 ml),30 cal,126 kJ
Merlot,100ml,83 cal,349 kJ,1 glass (118 ml),98 cal,412 kJ,1 fl. oz. (30 ml),25 cal,105 kJ
